"","weather","risk","treatment","outcome"
"2005","normal","high","treated","not-burned"
"2006","wet","low","treated","not-burned"
"2007","normal","low","untreated","not-burned"
"2008","wet","low","treated","not-burned"
"2009","normal","low","untreated","not-burned"
"2010","wet","low","untreated","not-burned"
"2011","normal","low","untreated","not-burned"
"2012","wet","low","untreated","not-burned"
"2013","normal","low","untreated","not-burned"
"2014","normal","low","untreated","not-burned"
"2015","wet","low","untreated","not-burned"
"2016","dry","low","untreated","not-burned"
"2017","normal","high","treated","burned"
"2018","normal","high","treated","not-burned"
"2019","normal","low","untreated","not-burned"
"2020","dry","low","untreated","not-burned"
"2021","normal","high","treated","not-burned"
"2022","normal","low","untreated","not-burned"
"2023","normal","low","untreated","not-burned"
"2024","dry","low","untreated","not-burned"
"2025","normal","high","treated","not-burned"
"2026","wet","low","untreated","not-burned"
"2027","wet","low","treated","not-burned"
"2028","normal","low","treated","not-burned"
"2029","normal","high","treated","not-burned"
"2030","wet","low","untreated","not-burned"
"2031","normal","high","untreated","burned"
"2032","normal","high","treated","not-burned"
"2033","dry","high","treated","not-burned"
"2034","wet","low","treated","burned"
"2035","wet","low","treated","not-burned"
"2036","normal","high","untreated","not-burned"
"2037","normal","low","untreated","not-burned"
"2038","normal","low","treated","not-burned"
"2039","normal","high","treated","not-burned"
"2040","wet","low","untreated","not-burned"
"2041","wet","low","untreated","not-burned"
"2042","normal","high","treated","not-burned"
"2043","dry","high","treated","burned"
"2044","wet","low","treated","not-burned"
"2045","dry","high","treated","not-burned"
"2046","wet","low","untreated","not-burned"
"2047","normal","low","treated","not-burned"
"2048","wet","low","untreated","burned"
"2049","normal","low","treated","not-burned"
"2050","wet","low","untreated","not-burned"
"2051","normal","low","untreated","not-burned"
"2052","normal","low","treated","not-burned"
"2053","wet","high","treated","not-burned"
"2054","normal","low","treated","not-burned"
"2055","normal","high","treated","not-burned"
"2056","normal","low","treated","not-burned"
"2057","normal","low","treated","not-burned"
"2058","normal","low","treated","not-burned"
"2059","dry","low","treated","not-burned"
"2060","normal","high","untreated","not-burned"
"2061","dry","high","treated","not-burned"
"2062","normal","low","untreated","not-burned"
"2063","dry","high","treated","not-burned"
"2064","normal","low","untreated","not-burned"
"2065","dry","high","treated","not-burned"
"2066","normal","low","untreated","not-burned"
"2067","normal","high","treated","not-burned"
"2068","wet","low","untreated","not-burned"
"2069","normal","low","untreated","not-burned"
"2070","normal","low","treated","not-burned"
"2071","wet","low","untreated","not-burned"
"2072","normal","high","treated","not-burned"
"2073","wet","low","untreated","not-burned"
"2074","dry","high","treated","not-burned"
"2075","normal","high","treated","not-burned"
"2076","dry","high","untreated","not-burned"
"2077","wet","low","untreated","not-burned"
"2078","normal","low","untreated","not-burned"
"2079","normal","high","untreated","burned"
"2080","wet","low","untreated","not-burned"
"2081","dry","low","treated","burned"
"2082","normal","low","untreated","not-burned"
"2083","wet","low","untreated","not-burned"
"2084","normal","low","treated","not-burned"
"2085","wet","low","untreated","not-burned"
"2086","dry","low","untreated","burned"
"2087","wet","low","treated","not-burned"
"2088","dry","low","untreated","not-burned"
"2089","wet","low","untreated","not-burned"
"2090","normal","low","treated","not-burned"
"2091","normal","low","untreated","not-burned"
"2092","wet","low","untreated","not-burned"
"2093","wet","high","treated","not-burned"
"2094","wet","low","untreated","not-burned"
"2095","dry","high","untreated","not-burned"
"2096","dry","low","untreated","not-burned"
"2097","wet","low","treated","not-burned"
"2098","normal","low","untreated","not-burned"
"2099","normal","high","untreated","not-burned"
"2100","normal","high","untreated","not-burned"
"2101","normal","high","treated","burned"
"2102","wet","low","untreated","not-burned"
"2103","dry","high","treated","not-burned"
"2104","normal","high","treated","not-burned"
"2105","wet","low","treated","not-burned"
"2106","wet","low","untreated","not-burned"
"2107","wet","high","untreated","not-burned"
"2108","normal","low","treated","not-burned"
"2109","wet","low","untreated","not-burned"
"2110","normal","low","untreated","not-burned"
"2111","dry","low","untreated","not-burned"
"2112","dry","high","untreated","burned"
"2113","wet","low","untreated","not-burned"
"2114","normal","low","treated","not-burned"
"2115","normal","low","untreated","not-burned"
"2116","dry","low","untreated","not-burned"
"2117","wet","low","treated","not-burned"
"2118","normal","low","treated","not-burned"
"2119","normal","low","treated","not-burned"
"2120","normal","low","untreated","not-burned"
"2121","dry","low","untreated","burned"
"2122","normal","low","untreated","not-burned"
"2123","dry","low","untreated","burned"
"2124","wet","low","treated","not-burned"
"2125","wet","low","untreated","not-burned"
"2126","wet","low","treated","not-burned"
"2127","wet","low","treated","not-burned"
"2128","dry","low","treated","burned"
"2129","dry","low","untreated","not-burned"
"2130","normal","low","untreated","not-burned"
"2131","wet","low","untreated","not-burned"
"2132","normal","high","treated","not-burned"
"2133","wet","low","untreated","not-burned"
"2134","normal","high","untreated","not-burned"
"2135","wet","low","treated","not-burned"
"2136","wet","low","untreated","not-burned"
"2137","normal","high","treated","not-burned"
"2138","normal","low","untreated","not-burned"
"2139","normal","low","treated","not-burned"
"2140","normal","low","untreated","not-burned"
"2141","normal","low","untreated","not-burned"
"2142","wet","low","untreated","not-burned"
"2143","wet","low","untreated","not-burned"
"2144","wet","low","untreated","not-burned"
"2145","normal","high","treated","not-burned"
"2146","normal","low","treated","not-burned"
"2147","dry","low","treated","burned"
"2148","wet","low","treated","not-burned"
"2149","normal","low","untreated","not-burned"
"2150","dry","high","treated","not-burned"
"2151","dry","low","untreated","burned"
"2152","normal","high","treated","not-burned"
"2153","normal","low","untreated","not-burned"
"2154","dry","high","treated","not-burned"
"2155","normal","high","treated","not-burned"
"2156","normal","low","untreated","not-burned"
"2157","normal","low","treated","not-burned"
"2158","normal","low","untreated","not-burned"
"2159","dry","low","untreated","burned"
"2160","wet","low","untreated","not-burned"
"2161","dry","high","untreated","burned"
"2162","dry","high","untreated","not-burned"
"2163","normal","high","treated","not-burned"
"2164","normal","low","untreated","not-burned"
"2165","normal","high","treated","not-burned"
"2166","normal","low","treated","not-burned"
"2167","normal","low","treated","not-burned"
"2168","normal","low","untreated","not-burned"
"2169","normal","low","untreated","not-burned"
"2170","normal","low","untreated","not-burned"
"2171","normal","high","treated","not-burned"
"2172","wet","low","treated","not-burned"
"2173","dry","high","untreated","burned"
"2174","wet","low","untreated","not-burned"
"2175","dry","low","untreated","burned"
"2176","normal","low","untreated","not-burned"
"2177","normal","low","treated","not-burned"
"2178","normal","low","untreated","not-burned"
"2179","normal","low","untreated","not-burned"
"2180","wet","low","treated","not-burned"
"2181","normal","low","treated","not-burned"
"2182","dry","high","treated","not-burned"
"2183","dry","high","treated","not-burned"
"2184","normal","high","treated","not-burned"
"2185","normal","low","treated","not-burned"
"2186","normal","low","treated","not-burned"
"2187","normal","high","treated","not-burned"
"2188","wet","low","untreated","not-burned"
"2189","wet","low","untreated","not-burned"
"2190","normal","low","untreated","not-burned"
"2191","wet","low","untreated","not-burned"
"2192","wet","low","treated","not-burned"
"2193","normal","low","untreated","not-burned"
"2194","normal","low","untreated","not-burned"
"2195","dry","high","treated","not-burned"
"2196","normal","high","untreated","not-burned"
"2197","normal","low","untreated","not-burned"
"2198","dry","low","untreated","not-burned"
"2199","dry","high","treated","not-burned"
"2200","wet","low","treated","not-burned"
"2201","normal","low","untreated","not-burned"
"2202","normal","low","untreated","not-burned"
"2203","normal","low","untreated","not-burned"
"2204","normal","low","treated","not-burned"
"2205","normal","low","treated","not-burned"
"2206","normal","high","treated","burned"
"2207","wet","low","treated","not-burned"
"2208","wet","low","treated","not-burned"
"2209","wet","low","treated","not-burned"
"2210","dry","low","untreated","burned"
"2211","normal","low","untreated","not-burned"
"2212","normal","low","treated","not-burned"
"2213","wet","high","treated","not-burned"
"2214","dry","low","untreated","not-burned"
"2215","wet","high","treated","not-burned"
"2216","normal","low","untreated","not-burned"
"2217","normal","low","treated","not-burned"
"2218","normal","high","untreated","not-burned"
"2219","wet","low","untreated","not-burned"
"2220","dry","low","untreated","not-burned"
"2221","wet","low","untreated","not-burned"
"2222","wet","low","treated","not-burned"
"2223","normal","low","untreated","not-burned"
"2224","normal","low","untreated","not-burned"
"2225","dry","high","treated","not-burned"
"2226","normal","low","treated","not-burned"
"2227","dry","low","untreated","not-burned"
"2228","wet","low","untreated","not-burned"
"2229","dry","low","treated","burned"
"2230","normal","high","treated","not-burned"
"2231","normal","low","untreated","not-burned"
"2232","normal","low","untreated","not-burned"
"2233","normal","high","untreated","not-burned"
"2234","normal","low","untreated","not-burned"
"2235","wet","high","treated","not-burned"
"2236","normal","high","untreated","not-burned"
"2237","normal","high","treated","not-burned"
"2238","normal","high","treated","burned"
"2239","normal","high","untreated","not-burned"
"2240","normal","low","untreated","not-burned"
"2241","dry","low","untreated","not-burned"
"2242","wet","low","treated","not-burned"
"2243","wet","low","treated","not-burned"
"2244","wet","low","treated","not-burned"
"2245","wet","low","treated","not-burned"
"2246","dry","high","treated","not-burned"
"2247","wet","low","untreated","not-burned"
"2248","dry","low","untreated","not-burned"
"2249","normal","low","untreated","not-burned"
"2250","dry","low","treated","not-burned"
"2251","normal","low","untreated","not-burned"
"2252","normal","high","treated","not-burned"
"2253","dry","high","treated","not-burned"
"2254","dry","high","treated","not-burned"
"2255","normal","low","treated","not-burned"
"2256","wet","low","untreated","not-burned"
"2257","normal","low","treated","not-burned"
"2258","wet","low","untreated","not-burned"
"2259","wet","low","treated","burned"
"2260","normal","low","untreated","not-burned"
"2261","wet","low","untreated","not-burned"
"2262","normal","low","untreated","not-burned"
"2263","dry","low","untreated","burned"
"2264","wet","low","untreated","not-burned"
"2265","wet","low","treated","not-burned"
"2266","dry","low","untreated","not-burned"
"2267","normal","high","treated","not-burned"
"2268","dry","low","untreated","burned"
"2269","normal","low","untreated","not-burned"
"2270","normal","high","treated","burned"
"2271","normal","low","untreated","not-burned"
"2272","wet","low","treated","not-burned"
"2273","normal","low","untreated","not-burned"
"2274","wet","low","untreated","not-burned"
"2275","normal","low","treated","not-burned"
"2276","wet","low","untreated","not-burned"
"2277","normal","low","untreated","not-burned"
"2278","normal","low","treated","not-burned"
"2279","normal","low","untreated","not-burned"
"2280","dry","low","untreated","not-burned"
"2281","normal","high","treated","not-burned"
"2282","dry","high","treated","not-burned"
"2283","normal","low","treated","not-burned"
"2284","normal","high","treated","not-burned"
"2285","wet","high","treated","not-burned"
"2286","dry","low","untreated","not-burned"
"2287","wet","low","untreated","not-burned"
"2288","wet","low","untreated","not-burned"
"2289","wet","low","untreated","not-burned"
"2290","normal","high","untreated","not-burned"
"2291","wet","low","untreated","not-burned"
"2292","dry","low","untreated","burned"
"2293","normal","low","untreated","not-burned"
"2294","normal","high","treated","not-burned"
"2295","dry","high","treated","burned"
"2296","normal","high","untreated","not-burned"
"2297","wet","low","untreated","not-burned"
"2298","normal","high","untreated","not-burned"
"2299","normal","low","untreated","not-burned"
"2300","wet","low","untreated","not-burned"
"2301","dry","low","treated","not-burned"
"2302","normal","low","untreated","not-burned"
"2303","normal","high","treated","not-burned"
"2304","normal","high","treated","not-burned"
"2305","normal","low","untreated","not-burned"
"2306","normal","low","untreated","not-burned"
"2307","normal","high","untreated","not-burned"
"2308","normal","high","treated","not-burned"
"2309","normal","low","treated","not-burned"
"2310","wet","low","untreated","not-burned"
"2311","wet","low","treated","not-burned"
"2312","dry","low","untreated","not-burned"
"2313","wet","low","untreated","not-burned"
"2314","wet","low","treated","not-burned"
"2315","dry","high","treated","not-burned"
"2316","normal","low","untreated","not-burned"
"2317","dry","low","untreated","not-burned"
"2318","wet","low","treated","not-burned"
"2319","normal","high","untreated","not-burned"
"2320","normal","low","untreated","not-burned"
"2321","wet","low","untreated","not-burned"
"2322","dry","low","untreated","not-burned"
"2323","normal","low","untreated","not-burned"
"2324","dry","low","untreated","not-burned"
"2325","normal","low","treated","not-burned"
"2326","normal","high","treated","not-burned"
"2327","normal","low","untreated","not-burned"
"2328","dry","low","treated","burned"
"2329","dry","low","untreated","not-burned"
"2330","wet","low","untreated","not-burned"
"2331","dry","low","untreated","not-burned"
"2332","wet","low","untreated","not-burned"
"2333","normal","low","treated","not-burned"
"2334","wet","low","untreated","not-burned"
"2335","wet","high","treated","not-burned"
"2336","normal","low","treated","not-burned"
"2337","wet","high","treated","not-burned"
"2338","wet","low","untreated","not-burned"
"2339","wet","low","untreated","not-burned"
"2340","normal","low","treated","not-burned"
"2341","wet","low","untreated","not-burned"
"2342","wet","high","treated","not-burned"
"2343","normal","low","treated","not-burned"
"2344","normal","low","untreated","not-burned"
"2345","wet","low","treated","not-burned"
"2346","wet","low","treated","not-burned"
"2347","normal","low","untreated","not-burned"
"2348","dry","high","treated","not-burned"
"2349","normal","low","treated","not-burned"
"2350","normal","low","untreated","not-burned"
"2351","normal","low","treated","not-burned"
"2352","wet","low","untreated","not-burned"
"2353","normal","high","treated","not-burned"
"2354","wet","low","untreated","not-burned"
"2355","wet","low","untreated","not-burned"
"2356","wet","low","untreated","not-burned"
"2357","normal","high","treated","not-burned"
"2358","normal","low","untreated","not-burned"
"2359","normal","low","treated","not-burned"
"2360","normal","low","untreated","not-burned"
"2361","wet","high","treated","not-burned"
"2362","normal","low","untreated","not-burned"
"2363","wet","low","untreated","not-burned"
"2364","normal","low","treated","not-burned"
"2365","normal","high","untreated","not-burned"
"2366","dry","high","treated","not-burned"
"2367","normal","low","treated","not-burned"
"2368","wet","low","untreated","not-burned"
"2369","wet","low","treated","not-burned"
"2370","dry","high","untreated","not-burned"
"2371","normal","low","treated","not-burned"
"2372","normal","low","untreated","not-burned"
"2373","dry","low","untreated","burned"
"2374","normal","high","treated","not-burned"
"2375","normal","low","untreated","not-burned"
"2376","normal","high","untreated","not-burned"
"2377","wet","low","untreated","not-burned"
"2378","normal","low","treated","not-burned"
"2379","wet","low","treated","not-burned"
"2380","normal","low","untreated","not-burned"
"2381","wet","low","untreated","not-burned"
"2382","dry","low","treated","burned"
"2383","dry","low","untreated","not-burned"
"2384","normal","high","treated","burned"
"2385","normal","high","treated","not-burned"
"2386","normal","high","treated","not-burned"
"2387","wet","low","treated","not-burned"
"2388","wet","high","treated","burned"
"2389","wet","low","treated","not-burned"
"2390","normal","high","treated","not-burned"
"2391","normal","low","untreated","not-burned"
"2392","normal","low","treated","not-burned"
"2393","wet","low","treated","not-burned"
"2394","normal","low","treated","not-burned"
"2395","dry","low","untreated","burned"
"2396","wet","low","untreated","not-burned"
"2397","wet","low","untreated","not-burned"
"2398","normal","low","untreated","not-burned"
"2399","wet","low","treated","not-burned"
"2400","normal","high","untreated","not-burned"
"2401","wet","low","treated","not-burned"
"2402","normal","low","untreated","not-burned"
"2403","normal","low","treated","not-burned"
"2404","normal","high","treated","not-burned"
"2405","dry","low","untreated","burned"
"2406","dry","low","treated","not-burned"
"2407","normal","low","untreated","not-burned"
"2408","normal","low","untreated","not-burned"
"2409","dry","low","untreated","not-burned"
"2410","normal","low","untreated","not-burned"
"2411","normal","high","treated","not-burned"
"2412","normal","low","untreated","not-burned"
"2413","wet","low","untreated","not-burned"
"2414","wet","high","treated","not-burned"
"2415","normal","low","untreated","not-burned"
"2416","normal","low","untreated","not-burned"
"2417","normal","high","treated","not-burned"
"2418","normal","low","treated","not-burned"
"2419","dry","low","treated","burned"
"2420","normal","low","untreated","not-burned"
"2421","dry","low","treated","burned"
"2422","dry","high","untreated","not-burned"
"2423","wet","low","untreated","not-burned"
"2424","normal","low","treated","not-burned"
"2425","dry","low","treated","burned"
"2426","dry","low","untreated","not-burned"
"2427","normal","low","untreated","not-burned"
"2428","dry","high","treated","not-burned"
"2429","normal","high","treated","not-burned"
"2430","dry","high","treated","not-burned"
"2431","normal","low","treated","not-burned"
"2432","dry","low","untreated","burned"
"2433","dry","low","untreated","not-burned"
"2434","wet","low","untreated","not-burned"
"2435","wet","low","treated","not-burned"
"2436","dry","low","untreated","burned"
"2437","dry","high","untreated","burned"
"2438","normal","low","untreated","not-burned"
"2439","normal","low","treated","not-burned"
"2440","wet","low","untreated","not-burned"
"2441","normal","low","untreated","not-burned"
"2442","normal","high","untreated","not-burned"
"2443","normal","low","untreated","not-burned"
"2444","wet","low","treated","not-burned"
"2445","wet","high","treated","not-burned"
"2446","normal","low","untreated","not-burned"
"2447","normal","low","untreated","not-burned"
"2448","wet","low","untreated","not-burned"
"2449","wet","low","untreated","not-burned"
"2450","dry","low","treated","not-burned"
"2451","normal","high","treated","not-burned"
"2452","wet","low","treated","not-burned"
"2453","wet","low","treated","not-burned"
"2454","wet","low","untreated","not-burned"
"2455","normal","low","untreated","not-burned"
"2456","normal","low","untreated","not-burned"
"2457","normal","low","treated","not-burned"
"2458","normal","high","treated","burned"
"2459","wet","low","treated","not-burned"
"2460","wet","low","untreated","not-burned"
"2461","dry","low","untreated","not-burned"
"2462","normal","low","treated","not-burned"
"2463","dry","high","treated","not-burned"
"2464","wet","low","untreated","not-burned"
"2465","normal","low","treated","not-burned"
"2466","normal","low","untreated","not-burned"
"2467","wet","low","treated","burned"
"2468","wet","low","untreated","not-burned"
"2469","normal","low","untreated","not-burned"
"2470","normal","high","treated","not-burned"
"2471","wet","low","untreated","not-burned"
"2472","normal","high","untreated","not-burned"
"2473","wet","low","treated","not-burned"
"2474","normal","low","treated","not-burned"
"2475","normal","high","treated","burned"
"2476","normal","high","treated","not-burned"
"2477","wet","low","untreated","not-burned"
"2478","wet","low","untreated","not-burned"
"2479","wet","low","treated","not-burned"
"2480","wet","low","untreated","not-burned"
"2481","wet","high","treated","not-burned"
"2482","dry","low","untreated","burned"
"2483","dry","low","treated","burned"
"2484","normal","low","treated","not-burned"
"2485","dry","high","untreated","not-burned"
"2486","normal","high","treated","not-burned"
"2487","normal","high","untreated","burned"
"2488","normal","low","untreated","not-burned"
"2489","normal","low","untreated","not-burned"
"2490","normal","low","treated","not-burned"
"2491","normal","low","treated","not-burned"
"2492","wet","low","untreated","not-burned"
"2493","wet","high","treated","not-burned"
"2494","normal","high","treated","not-burned"
"2495","wet","high","treated","not-burned"
"2496","normal","low","untreated","not-burned"
"2497","dry","low","untreated","not-burned"
"2498","normal","low","untreated","not-burned"
"2499","normal","high","treated","not-burned"
"2500","normal","low","treated","not-burned"
"2501","wet","high","treated","not-burned"
"2502","wet","low","untreated","not-burned"
"2503","normal","low","treated","not-burned"
"2504","wet","low","untreated","not-burned"
"2505","normal","low","untreated","not-burned"
"2506","wet","low","treated","not-burned"
"2507","normal","low","untreated","not-burned"
"2508","normal","low","treated","not-burned"
"2509","dry","low","untreated","burned"
"2510","normal","low","treated","not-burned"
"2511","wet","low","treated","not-burned"
"2512","normal","low","untreated","not-burned"
"2513","wet","low","untreated","not-burned"
"2514","normal","low","untreated","not-burned"
"2515","normal","low","untreated","not-burned"
"2516","normal","low","untreated","not-burned"
"2517","normal","low","untreated","not-burned"
"2518","dry","high","untreated","not-burned"
"2519","normal","low","treated","not-burned"
"2520","dry","low","treated","not-burned"
"2521","wet","low","treated","not-burned"
"2522","normal","high","untreated","not-burned"
"2523","normal","high","treated","not-burned"
"2524","normal","low","treated","not-burned"
"2525","wet","low","untreated","not-burned"
"2526","normal","low","treated","not-burned"
"2527","wet","low","untreated","not-burned"
"2528","dry","low","untreated","burned"
"2529","normal","low","untreated","not-burned"
"2530","dry","high","treated","burned"
"2531","wet","low","treated","not-burned"
"2532","normal","low","untreated","not-burned"
"2533","dry","high","treated","not-burned"
"2534","normal","low","untreated","not-burned"
"2535","normal","high","untreated","not-burned"
"2536","wet","high","treated","not-burned"
"2537","wet","low","treated","not-burned"
"2538","normal","low","treated","not-burned"
"2539","wet","low","treated","not-burned"
"2540","wet","low","untreated","not-burned"
"2541","normal","high","untreated","not-burned"
"2542","normal","low","untreated","not-burned"
"2543","normal","low","untreated","not-burned"
"2544","dry","high","treated","not-burned"
"2545","normal","low","treated","not-burned"
"2546","normal","low","treated","not-burned"
"2547","normal","low","treated","not-burned"
"2548","wet","low","untreated","not-burned"
"2549","dry","low","untreated","burned"
"2550","dry","low","treated","not-burned"
"2551","normal","high","treated","not-burned"
"2552","dry","low","untreated","not-burned"
"2553","wet","low","untreated","not-burned"
"2554","wet","low","treated","not-burned"
"2555","normal","low","treated","not-burned"
"2556","normal","high","treated","not-burned"
"2557","dry","low","untreated","not-burned"
"2558","wet","low","treated","not-burned"
"2559","dry","low","untreated","burned"
"2560","normal","low","treated","not-burned"
"2561","normal","low","untreated","not-burned"
"2562","normal","high","untreated","not-burned"
"2563","normal","low","treated","not-burned"
"2564","normal","low","untreated","not-burned"
"2565","dry","high","treated","burned"
"2566","wet","low","untreated","not-burned"
"2567","dry","high","treated","not-burned"
"2568","normal","low","untreated","not-burned"
"2569","normal","high","treated","not-burned"
"2570","wet","low","untreated","not-burned"
"2571","dry","low","untreated","not-burned"
"2572","normal","low","untreated","not-burned"
"2573","normal","low","treated","not-burned"
"2574","normal","low","untreated","not-burned"
"2575","dry","low","treated","burned"
"2576","dry","low","untreated","burned"
"2577","normal","low","treated","not-burned"
"2578","normal","low","treated","not-burned"
"2579","normal","low","untreated","not-burned"
"2580","wet","low","treated","not-burned"
"2581","normal","low","treated","not-burned"
"2582","normal","low","untreated","not-burned"
"2583","normal","high","treated","not-burned"
"2584","dry","high","treated","not-burned"
"2585","normal","high","treated","not-burned"
"2586","wet","low","treated","not-burned"
"2587","wet","low","untreated","not-burned"
"2588","dry","low","untreated","not-burned"
"2589","wet","low","treated","not-burned"
"2590","normal","low","treated","not-burned"
"2591","dry","low","treated","not-burned"
"2592","normal","low","untreated","not-burned"
"2593","normal","low","untreated","not-burned"
"2594","wet","low","untreated","not-burned"
"2595","normal","low","untreated","not-burned"
"2596","normal","high","treated","not-burned"
"2597","wet","low","treated","not-burned"
"2598","normal","low","treated","not-burned"
"2599","normal","low","untreated","not-burned"
"2600","dry","low","treated","not-burned"
"2601","normal","low","untreated","not-burned"
"2602","wet","low","untreated","not-burned"
"2603","normal","high","treated","not-burned"
"2604","wet","low","untreated","not-burned"
"2605","wet","low","treated","not-burned"
"2606","normal","low","untreated","not-burned"
"2607","wet","low","untreated","not-burned"
"2608","dry","low","treated","burned"
"2609","normal","high","treated","not-burned"
"2610","wet","high","treated","burned"
"2611","wet","low","treated","not-burned"
"2612","dry","low","untreated","not-burned"
"2613","normal","low","treated","not-burned"
"2614","dry","high","treated","burned"
"2615","dry","low","treated","not-burned"
"2616","wet","low","untreated","not-burned"
"2617","dry","low","untreated","not-burned"
"2618","normal","low","untreated","not-burned"
"2619","normal","low","untreated","not-burned"
"2620","wet","high","untreated","not-burned"
"2621","normal","low","treated","not-burned"
"2622","dry","high","treated","not-burned"
"2623","wet","low","treated","not-burned"
"2624","dry","low","untreated","burned"
"2625","normal","low","untreated","not-burned"
"2626","normal","low","treated","not-burned"
"2627","dry","high","untreated","not-burned"
"2628","dry","low","untreated","not-burned"
"2629","dry","low","untreated","burned"
"2630","normal","low","treated","not-burned"
"2631","normal","low","untreated","not-burned"
"2632","normal","low","untreated","not-burned"
"2633","normal","low","treated","not-burned"
"2634","normal","low","treated","not-burned"
"2635","wet","low","untreated","not-burned"
"2636","wet","low","treated","not-burned"
"2637","wet","low","treated","not-burned"
"2638","dry","low","treated","burned"
"2639","dry","high","treated","not-burned"
"2640","normal","low","untreated","not-burned"
"2641","normal","high","treated","not-burned"
"2642","dry","low","untreated","burned"
"2643","dry","low","treated","not-burned"
"2644","dry","high","treated","burned"
"2645","normal","low","treated","not-burned"
"2646","normal","low","untreated","not-burned"
"2647","wet","low","untreated","not-burned"
"2648","normal","low","treated","not-burned"
"2649","normal","low","treated","not-burned"
"2650","normal","low","treated","not-burned"
"2651","wet","low","untreated","not-burned"
"2652","normal","low","untreated","not-burned"
"2653","normal","low","treated","not-burned"
"2654","normal","low","untreated","not-burned"
"2655","dry","low","untreated","not-burned"
"2656","normal","high","treated","not-burned"
"2657","normal","low","treated","not-burned"
"2658","dry","low","treated","not-burned"
"2659","normal","low","treated","not-burned"
"2660","normal","high","untreated","not-burned"
"2661","normal","low","treated","not-burned"
"2662","normal","low","untreated","not-burned"
"2663","wet","low","untreated","not-burned"
"2664","normal","low","untreated","not-burned"
"2665","normal","high","treated","not-burned"
"2666","normal","low","treated","not-burned"
"2667","normal","high","treated","not-burned"
"2668","normal","low","treated","not-burned"
"2669","wet","low","treated","not-burned"
"2670","dry","low","untreated","not-burned"
"2671","normal","high","treated","not-burned"
"2672","dry","high","treated","not-burned"
"2673","wet","low","untreated","not-burned"
"2674","normal","high","treated","not-burned"
"2675","normal","high","treated","not-burned"
"2676","wet","low","untreated","not-burned"
"2677","dry","low","untreated","burned"
"2678","dry","high","untreated","not-burned"
"2679","wet","low","untreated","not-burned"
"2680","normal","low","untreated","not-burned"
"2681","wet","low","treated","not-burned"
"2682","wet","low","untreated","not-burned"
"2683","normal","high","untreated","not-burned"
"2684","normal","low","treated","not-burned"
"2685","dry","low","untreated","not-burned"
"2686","normal","low","treated","not-burned"
"2687","normal","low","treated","not-burned"
"2688","wet","low","untreated","not-burned"
"2689","normal","low","treated","not-burned"
"2690","normal","low","untreated","not-burned"
"2691","dry","low","untreated","burned"
"2692","dry","high","treated","not-burned"
"2693","normal","low","treated","not-burned"
"2694","dry","low","untreated","not-burned"
"2695","normal","low","treated","not-burned"
"2696","wet","low","treated","not-burned"
"2697","normal","high","treated","burned"
"2698","normal","low","treated","not-burned"
"2699","wet","low","untreated","not-burned"
"2700","wet","low","untreated","not-burned"
"2701","dry","low","treated","not-burned"
"2702","wet","low","treated","not-burned"
"2703","dry","high","treated","not-burned"
"2704","wet","low","treated","not-burned"
"2705","wet","low","untreated","not-burned"
"2706","normal","low","untreated","not-burned"
"2707","normal","high","treated","not-burned"
"2708","normal","low","untreated","not-burned"
"2709","normal","low","treated","not-burned"
"2710","normal","low","treated","not-burned"
"2711","wet","low","untreated","not-burned"
"2712","wet","low","untreated","not-burned"
"2713","wet","high","treated","not-burned"
"2714","dry","low","treated","burned"
"2715","dry","high","treated","not-burned"
"2716","wet","low","treated","not-burned"
"2717","dry","low","untreated","not-burned"
"2718","normal","low","untreated","not-burned"
"2719","normal","low","untreated","not-burned"
"2720","normal","low","untreated","not-burned"
"2721","normal","high","treated","not-burned"
"2722","normal","low","untreated","not-burned"
"2723","normal","high","untreated","burned"
"2724","normal","high","treated","not-burned"
"2725","normal","high","untreated","not-burned"
"2726","normal","high","untreated","not-burned"
"2727","normal","low","untreated","not-burned"
"2728","wet","low","treated","not-burned"
"2729","normal","low","treated","not-burned"
"2730","normal","low","untreated","not-burned"
"2731","normal","low","treated","not-burned"
"2732","dry","low","untreated","burned"
"2733","normal","low","treated","not-burned"
"2734","normal","low","untreated","not-burned"
"2735","normal","high","treated","burned"
"2736","normal","high","untreated","not-burned"
"2737","normal","high","treated","not-burned"
"2738","normal","low","treated","not-burned"
"2739","normal","low","treated","not-burned"
"2740","wet","low","untreated","not-burned"
"2741","wet","low","untreated","not-burned"
"2742","wet","low","untreated","not-burned"
"2743","normal","low","untreated","not-burned"
"2744","normal","low","untreated","not-burned"
"2745","normal","low","treated","not-burned"
"2746","dry","low","untreated","burned"
"2747","wet","low","untreated","not-burned"
"2748","wet","low","untreated","not-burned"
"2749","dry","high","treated","not-burned"
"2750","normal","low","untreated","not-burned"
"2751","dry","low","untreated","burned"
"2752","normal","low","untreated","not-burned"
"2753","wet","low","treated","not-burned"
"2754","normal","low","treated","not-burned"
"2755","normal","high","treated","not-burned"
"2756","normal","low","untreated","not-burned"
"2757","normal","low","treated","not-burned"
"2758","dry","high","treated","not-burned"
"2759","wet","low","untreated","not-burned"
"2760","normal","low","treated","not-burned"
"2761","normal","low","untreated","not-burned"
"2762","normal","low","treated","not-burned"
"2763","normal","low","untreated","not-burned"
"2764","wet","low","untreated","not-burned"
"2765","normal","high","treated","not-burned"
"2766","normal","high","treated","not-burned"
